date,campaign,link_type,pid_count,links_generated
2025-08-10,Mashreq,CTA,2,2
2025-08-10,Mashreq,CTA,2,2
2025-08-10,Genting Casino ES,CTV,2,2
2025-08-10,Genting Casino ES,CTA,2,2
2025-08-10,Genting Casino ES,VTA,2,2
2025-08-10,Genting Casino ES,CTA,2,2
2025-08-10,Genting Casino ES,VTA,2,2
2025-08-10,Mega Casino UK,CTV,2,6
2025-08-10,Mega Casino UK,CTA,2,12
2025-08-10,Mega Casino UK,VTA,2,12
2025-08-11,Mega Casino UK,CTV,1,1
2025-08-11,Moneyman,CTA,1,2
2025-08-11,Moneyman,VTA,1,2
2025-08-12,Banki,CTA,5,10
2025-08-12,Lending Plate,CTV,3,6
2025-08-12,Lending Plate,CTV,2,6
2025-08-12,Lending Plate,CTV,1,1
2025-08-12,Banki,CTA,6,12
2025-08-12,XM,CTA,1,2
2025-08-12,Bitget,CTA,4,16
2025-08-12,XM,CTA,2,4
2025-08-13,Mega Casino UK,CTV,1,1
2025-08-13,Mega Casino ES,CTV,1,1
2025-08-13,Mega Casino CA,CTV,1,1
2025-08-13,Bitget,CTA,2,4
2025-08-13,Angel One,CTA,2,8
2025-08-13,Angel One,CTA,1,18
2025-08-13,Mashreq,CTA,1,1
2025-08-13,Genting Casino UK,CTV,1,1
2025-08-13,Genting Casino ES,CTV,1,1
2025-08-13,Slingo UK,CTA,1,1
2025-08-14,Genting Casino UK,CTA,2,4
2025-08-14,Genting Casino UK,VTA,2,4
2025-08-14,Genting Casino ES,CTA,2,4
2025-08-14,Genting Casino ES,VTA,2,4
2025-08-14,Mashreq,CTA,1,2
2025-08-14,Mega Casino UK,CTA,2,4
2025-08-14,Mega Casino UK,VTA,2,4
2025-08-14,Mega Casino ES,CTA,2,4
2025-08-14,Mega Casino ES,VTA,2,4
2025-08-14,Mega Casino CA,CTA,2,8
2025-08-14,Mega Casino CA,VTA,2,8
2025-08-18,Genting Casino UK,CTV,2,2
2025-08-18,Genting Casino ES,CTV,2,2
2025-08-18,Mega Casino UK,CTV,2,2
2025-08-18,Mega Casino ES,CTV,2,2
2025-08-18,Mega Casino CA,CTV,2,2
2025-08-19,Mega Casino UK,CTA,2,4
2025-08-19,Mega Casino ES,CTA,2,4
2025-08-19,Mega Casino CA,CTA,2,4
2025-08-19,Mega Casino UK,VTA,1,2
2025-08-19,Mega Casino ES,VTA,1,2
2025-08-19,Mega Casino CA,VTA,1,2
2026-01-01,Spin Genie UK,CTA,1,1
2026-01-01,Spin Genie UK,VTA,1,1
2026-01-01,Angel One,CTA,1,26
2026-01-01,Mashreq,CTA,1,2
